Okt,Nov,Dec,Jan,Feb,March,Apr,May,June,July,Aug,Sep,Okt-Nov,Okt-Dec,Okt-Jan,Okt-Feb,Mejveg,Veg
99.6216,92.7936,137.3814,143.9303273,110.6289333,134.3544485,442.368,1248.556636,1679.616,1210.009667,525.2694121,213.84,192.4152,329.7966,473.7269273,584.3558606,718.7103091,5319.659715
122.6605152,130.6368,118.9275455,136.9594121,129.476975,147.3711515,286.416,1137.208642,905.6448,920.4204848,431.320303,189.4752,253.2973152,372.2248606,509.1842727,638.6612477,786.0323992,3870.48543
204.9408,165.1968,182.0448,150.4224,126.1536,116.3808,136.512,203.04,231.552,185.2416,131.5008,114.912,370.1376,552.1824,702.6048,828.7584,945.1392,1002.7584
272.6784,335.3184,215.8272,172.7136,160.3584,145.584,247.968,551.8368,606.528,224.9856,188.784,152.064,607.9968,823.824,996.5376,1156.896,1302.48,1972.1664
167.616,213.408,205.9776,181.3536,146.5344,162.432,957.312,1027.9008,1252.8,652.4928,310.0896,167.184,381.024,587.0016,768.3552,914.8896,1077.3216,4367.7792
113.4432,112.32,162,147.9168,127.008,146.2752,906.336,1118.6208,1275.264,730.8576,263.1744,171.072,225.7632,387.7632,535.68,662.688,808.9632,4465.3248
143.424,226.368,240.5376,171.504,139.968,219.888,768.96,949.8816,876.096,636.8544,332.7264,122.688,369.792,610.3296,781.8336,921.8016,1141.6896,3687.2064
114.2208,109.728,125.7984,113.184,97.1136,268.0128,425.952,648.5184,931.392,413.5968,216.3456,170.208,223.9488,349.7472,462.9312,560.0448,828.0576,2806.0128
136.1664,177.12,165.3696,146.448,173.8368,189.5616,441.504,1089.4176,618,310.18,145.15,159,313.2864,478.656,625.104,798.9408,988.5024,2763.2516
159.84,195,167.62,142.8471072,126.7488,131.94,363.05,409.62,248.31,224.04,157.6,146.1,354.84,522.46,665.3071072,792.0559072,923.9959072,1548.72
87,102.3,143.17,121,117,161,215.568,615.084192,396.2304,117.241344,142.389792,143.18208,189.3,332.47,453.47,570.47,731.47,1629.695808
119.7504,157.0752,155.01888,129.2112,122.5152,167.67648,325,667.78,821.84,592.71,299.12,206.67,276.8256,431.84448,561.05568,683.57088,851.24736,2913.12
177.46,160,171.5,156.9,179.54,396.66,1001.2,1630.37,1732.41,1127.17,602.9,291.86,337.46,508.96,665.86,845.4,1242.06,6385.91
